profile,variant,phase,owner,n,mean_ns,p50_ns,p95_ns,max_ns,attempts,accepted,debug_assertions
dev,baseline,empty-source,Source00,256,1675,1459,1667,22666,,,true
dev,baseline,empty-hub16enrolled,Hub,256,13647,12417,19500,104834,,,true
dev,baseline,held64-source,Source00,256,2048,1833,3667,9167,,,true
dev,baseline,held256-hub16enrolled,Hub,256,13822,12250,26459,98541,,,true
dev,success,enrollment,Source00,16,19698,19375,23708,23708,0,0,true
dev,success,enrollment,Source01,16,11805,11209,22833,22833,0,0,true
dev,success,enrollment,Source02,16,10721,10625,13417,13417,0,0,true
dev,success,enrollment,Source03,16,10398,10167,13625,13625,0,0,true
dev,success,enrollment,Source04,16,11354,10583,21750,21750,0,0,true
dev,success,enrollment,Source05,16,10716,10209,13917,13917,0,0,true
dev,success,enrollment,Source06,16,10151,10042,11625,11625,0,0,true
dev,success,enrollment,Source07,16,10568,9792,14791,14791,0,0,true
dev,success,enrollment,Source08,16,10208,10000,15917,15917,0,0,true
dev,success,enrollment,Source09,16,10063,9875,13000,13000,0,0,true
dev,success,enrollment,Source10,16,9338,8834,13125,13125,0,0,true
dev,success,enrollment,Source11,16,8799,8584,11541,11541,0,0,true
dev,success,enrollment,Source12,16,8878,8042,21041,21041,0,0,true
dev,success,enrollment,Source13,16,7219,6833,9875,9875,0,0,true
dev,success,enrollment,Source14,16,6594,6208,11417,11417,0,0,true
dev,success,enrollment,Source15,16,6154,6042,8958,8958,0,0,true
dev,success,enrollment,Hub,16,127779,125458,155500,155500,0,0,true
dev,success,enrollment,sum16Sources+Hub,16,290443,286707,352210,352210,0,0,true
dev,success,onset256,Source00,16,23258,22792,27250,27250,304,304,true
dev,success,onset256,Source01,16,60036,55833,101333,101333,1024,1024,true
dev,success,onset256,Source02,16,64891,54583,159458,159458,1024,1024,true
dev,success,onset256,Source03,16,56081,53209,91916,91916,1024,1024,true
dev,success,onset256,Source04,16,4052,2125,26625,26625,0,0,true
dev,success,onset256,Source05,16,2820,2125,8292,8292,0,0,true
dev,success,onset256,Source06,16,2531,1917,7500,7500,0,0,true
dev,success,onset256,Source07,16,2255,1917,5459,5459,0,0,true
dev,success,onset256,Source08,16,2315,1875,5708,5708,0,0,true
dev,success,onset256,Source09,16,3125,1917,14250,14250,0,0,true
dev,success,onset256,Source10,16,2359,1834,6167,6167,0,0,true
dev,success,onset256,Source11,16,2372,1958,5917,5917,0,0,true
dev,success,onset256,Source12,16,2247,1708,5667,5667,0,0,true
dev,success,onset256,Source13,16,2331,1875,6042,6042,0,0,true
dev,success,onset256,Source14,16,4448,1584,41083,41083,0,0,true
dev,success,onset256,Source15,16,2255,1708,6083,6083,0,0,true
dev,success,onset256,Hub,16,2832864,2826917,2990750,2990750,1008,1008,true
dev,success,onset256,sum16Sources+Hub,16,3070242,3037086,3355499,3355499,4384,4384,true
dev,success,history,Source00,688,31925,29834,43125,106333,33024,33024,true
dev,success,history,Source01,688,2523,1792,5333,53417,0,0,true
dev,success,history,Source02,688,2304,1750,4958,51291,0,0,true
dev,success,history,Source03,688,2119,1750,4625,17250,0,0,true
dev,success,history,Source04,688,2002,1500,4083,110708,0,0,true
dev,success,history,Source05,688,2009,1500,4417,70292,0,0,true
dev,success,history,Source06,688,2053,1458,3875,60583,0,0,true
dev,success,history,Source07,688,1896,1458,3875,47708,0,0,true
dev,success,history,Source08,688,1748,1458,3458,24583,0,0,true
dev,success,history,Source09,688,1786,1458,3708,44500,0,0,true
dev,success,history,Source10,688,1785,1458,3667,19583,0,0,true
dev,success,history,Source11,688,1777,1458,3542,37917,0,0,true
dev,success,history,Source12,688,1879,1458,4125,50542,0,0,true
dev,success,history,Source13,688,1768,1417,3959,30708,0,0,true
dev,success,history,Source14,688,1832,1417,3666,40583,0,0,true
dev,success,history,Source15,688,1766,1417,3709,36875,0,0,true
dev,success,history,Hub,688,63815,57916,96708,221083,0,0,true
dev,success,history,sum16Sources+Hub,688,124986,111123,210499,407209,33024,33024,true
dev,success,prefix,Source00,16,3667,2375,15875,15875,16,16,true
dev,success,prefix,Source01,16,2375,1875,6500,6500,0,0,true
dev,success,prefix,Source02,16,2190,1750,5459,5459,0,0,true
dev,success,prefix,Source03,16,2276,1750,6041,6041,0,0,true
dev,success,prefix,Source04,16,2167,1500,5209,5209,0,0,true
dev,success,prefix,Source05,16,1917,1541,3959,3959,0,0,true
dev,success,prefix,Source06,16,1823,1500,3708,3708,0,0,true
dev,success,prefix,Source07,16,1828,1459,3958,3958,0,0,true
dev,success,prefix,Source08,16,1857,1459,3750,3750,0,0,true
dev,success,prefix,Source09,16,1849,1459,4000,4000,0,0,true
dev,success,prefix,Source10,16,1851,1458,3792,3792,0,0,true
dev,success,prefix,Source11,16,1820,1500,3792,3792,0,0,true
dev,success,prefix,Source12,16,2120,1500,5000,5000,0,0,true
dev,success,prefix,Source13,16,1818,1542,3708,3708,0,0,true
dev,success,prefix,Source14,16,1758,1459,3625,3625,0,0,true
dev,success,prefix,Source15,16,1766,1500,3875,3875,0,0,true
dev,success,prefix,Hub,16,44581,39083,97333,97333,0,0,true
dev,success,prefix,sum16Sources+Hub,16,77661,64833,147583,147583,16,16,true
dev,success,younger-capture,Source00,16,11008,8583,35750,35750,80,80,true
dev,success,younger-capture,Source01,16,1987,1834,3750,3750,0,0,true
dev,success,younger-capture,Source02,16,1841,1792,2375,2375,0,0,true
dev,success,younger-capture,Source03,16,1833,1750,2250,2250,0,0,true
dev,success,younger-capture,Source04,16,1576,1500,2334,2334,0,0,true
dev,success,younger-capture,Source05,16,2216,1500,12541,12541,0,0,true
dev,success,younger-capture,Source06,16,1865,1459,4416,4416,0,0,true
dev,success,younger-capture,Source07,16,1503,1458,2125,2125,0,0,true
dev,success,younger-capture,Source08,16,1492,1459,1750,1750,0,0,true
dev,success,younger-capture,Source09,16,1497,1500,1709,1709,0,0,true
dev,success,younger-capture,Source10,16,2169,1458,12333,12333,0,0,true
dev,success,younger-capture,Source11,16,1615,1459,3667,3667,0,0,true
dev,success,younger-capture,Source12,16,1552,1417,3000,3000,0,0,true
dev,success,younger-capture,Source13,16,1565,1458,3209,3209,0,0,true
dev,success,younger-capture,Source14,16,1539,1417,3167,3167,0,0,true
dev,success,younger-capture,Source15,16,1552,1417,3167,3167,0,0,true
dev,success,younger-capture,Hub,16,41302,40209,51792,51792,0,0,true
dev,success,younger-capture,sum16Sources+Hub,16,78112,73378,146961,146961,80,80,true
dev,success,old-release,Source00,16,4896,4666,7500,7500,48,48,true
dev,success,old-release,Source01,16,52792,46958,106750,106750,1024,1024,true
dev,success,old-release,Source02,16,2109,1875,3458,3458,0,0,true
dev,success,old-release,Source03,16,1927,1750,3417,3417,0,0,true
dev,success,old-release,Source04,16,1799,1541,3541,3541,0,0,true
dev,success,old-release,Source05,16,1638,1500,3208,3208,0,0,true
dev,success,old-release,Source06,16,1581,1458,3000,3000,0,0,true
dev,success,old-release,Source07,16,1550,1417,2750,2750,0,0,true
dev,success,old-release,Source08,16,1586,1459,3083,3083,0,0,true
dev,success,old-release,Source09,16,1560,1417,3000,3000,0,0,true
dev,success,old-release,Source10,16,1529,1458,2625,2625,0,0,true
dev,success,old-release,Source11,16,1477,1417,1708,1708,0,0,true
dev,success,old-release,Source12,16,9320,1500,126291,126291,0,0,true
dev,success,old-release,Source13,16,1589,1417,3750,3750,0,0,true
dev,success,old-release,Source14,16,1583,1417,3333,3333,0,0,true
dev,success,old-release,Source15,16,1578,1417,3375,3375,0,0,true
dev,success,old-release,Hub,16,966807,947500,1193458,1193458,0,0,true
dev,success,old-release,sum16Sources+Hub,16,1055320,1022960,1268793,1268793,1072,1072,true
dev,success,setup,Source00,64,116430,112334,139959,161750,32768,32768,true
dev,success,setup,Source01,64,3108,1667,8333,11417,0,0,true
dev,success,setup,Source02,64,2371,1917,4583,6875,0,0,true
dev,success,setup,Source03,64,2474,1833,5125,11167,0,0,true
dev,success,setup,Source04,64,2013,1500,4708,6083,0,0,true
dev,success,setup,Source05,64,2051,1500,5083,6167,0,0,true
dev,success,setup,Source06,64,2089,1500,5041,13792,0,0,true
dev,success,setup,Source07,64,2383,1459,4875,28000,0,0,true
dev,success,setup,Source08,64,2398,1500,5459,20083,0,0,true
dev,success,setup,Source09,64,1952,1458,3709,8667,0,0,true
dev,success,setup,Source10,64,1869,1458,3667,5875,0,0,true
dev,success,setup,Source11,64,1917,1458,3708,7208,0,0,true
dev,success,setup,Source12,64,1915,1500,4042,5959,0,0,true
dev,success,setup,Source13,64,1865,1500,3750,5292,0,0,true
dev,success,setup,Source14,64,1934,1459,4000,9459,0,0,true
dev,success,setup,Source15,64,2202,1458,4583,25542,0,0,true
dev,success,setup,Hub,64,143347,227458,266584,297125,0,0,true
dev,success,setup,sum16Sources+Hub,64,292319,358709,432458,550793,32768,32768,true
dev,success,handoff,Source00,16,16237,15667,24792,24792,656,656,true
dev,success,handoff,Source01,16,1992,1750,4750,4750,0,0,true
dev,success,handoff,Source02,16,2245,1834,4708,4708,0,0,true
dev,success,handoff,Source03,16,2234,1833,4334,4334,0,0,true
dev,success,handoff,Source04,16,1904,1584,4792,4792,0,0,true
dev,success,handoff,Source05,16,1880,1500,4875,4875,0,0,true
dev,success,handoff,Source06,16,1815,1459,4541,4541,0,0,true
dev,success,handoff,Source07,16,1854,1500,4375,4375,0,0,true
dev,success,handoff,Source08,16,1839,1458,5042,5042,0,0,true
dev,success,handoff,Source09,16,1797,1500,4333,4333,0,0,true
dev,success,handoff,Source10,16,1841,1583,4291,4291,0,0,true
dev,success,handoff,Source11,16,2604,1500,14834,14834,0,0,true
dev,success,handoff,Source12,16,1823,1459,4041,4041,0,0,true
dev,success,handoff,Source13,16,1831,1458,4250,4250,0,0,true
dev,success,handoff,Source14,16,1805,1500,4333,4333,0,0,true
dev,success,handoff,Source15,16,1752,1459,4666,4666,0,0,true
dev,success,handoff,Hub,16,48411,40833,132209,132209,0,0,true
dev,success,handoff,sum16Sources+Hub,16,93864,79917,167626,167626,656,656,true
dev,success,reporting,Source00,128,2560,1833,5333,26916,0,0,true
dev,success,reporting,Source01,128,1864,1459,3708,9375,0,0,true
dev,success,reporting,Source02,128,2433,1792,4625,24209,0,0,true
dev,success,reporting,Source03,128,2124,1792,3875,10042,0,0,true
dev,success,reporting,Source04,128,2243,1459,5083,30833,0,0,true
dev,success,reporting,Source05,128,1838,1458,3708,11291,0,0,true
dev,success,reporting,Source06,128,1823,1458,3791,11958,0,0,true
dev,success,reporting,Source07,128,1704,1458,3125,6500,0,0,true
dev,success,reporting,Source08,128,1700,1458,3084,7209,0,0,true
dev,success,reporting,Source09,128,1715,1417,2833,11708,0,0,true
dev,success,reporting,Source10,128,1917,1458,3042,21041,0,0,true
dev,success,reporting,Source11,128,1758,1459,3167,13917,0,0,true
dev,success,reporting,Source12,128,1682,1458,3042,6083,0,0,true
dev,success,reporting,Source13,128,1806,1458,3208,19375,0,0,true
dev,success,reporting,Source14,128,1662,1417,2792,6417,0,0,true
dev,success,reporting,Source15,128,1739,1458,3042,14917,0,0,true
dev,success,reporting,Hub,128,95897,39291,287250,344958,0,0,true
dev,success,reporting,sum16Sources+Hub,128,126461,65126,322041,438667,0,0,true
dev,success,cleanup,Source00,256,4107,4875,8375,29208,0,0,true
dev,success,cleanup,Source01,256,1787,1417,3042,35625,0,0,true
dev,success,cleanup,Source02,256,6899,1375,67791,87792,1072,1072,true
dev,success,cleanup,Source03,256,6107,1375,62916,82917,1072,1072,true
dev,success,cleanup,Source04,256,1636,1375,3084,7125,0,0,true
dev,success,cleanup,Source05,256,1874,1375,3167,60083,0,0,true
dev,success,cleanup,Source06,256,1600,1375,3000,6792,0,0,true
dev,success,cleanup,Source07,256,1574,1416,2666,5583,0,0,true
dev,success,cleanup,Source08,256,1600,1375,2542,12209,0,0,true
dev,success,cleanup,Source09,256,1655,1375,3375,11916,0,0,true
dev,success,cleanup,Source10,256,1576,1375,2708,6125,0,0,true
dev,success,cleanup,Source11,256,1798,1375,3125,32083,0,0,true
dev,success,cleanup,Source12,256,1706,1375,2500,34083,0,0,true
dev,success,cleanup,Source13,256,1569,1375,2334,6375,0,0,true
dev,success,cleanup,Source14,256,1582,1375,2334,7875,0,0,true
dev,success,cleanup,Source15,256,1744,1416,2417,45958,0,0,true
dev,success,cleanup,Hub,256,95885,11709,1300084,1397125,1008,1008,true
dev,success,cleanup,sum16Sources+Hub,256,134700,37292,1463002,1552918,3152,3152,true
dev,reject-repair,enrollment,Source00,16,21875,20250,44792,44792,0,0,true
dev,reject-repair,enrollment,Source01,16,11695,11167,17583,17583,0,0,true
dev,reject-repair,enrollment,Source02,16,13906,10542,51708,51708,0,0,true
dev,reject-repair,enrollment,Source03,16,11284,10625,15917,15917,0,0,true
dev,reject-repair,enrollment,Source04,16,12130,11000,29417,29417,0,0,true
dev,reject-repair,enrollment,Source05,16,10802,10583,13500,13500,0,0,true
dev,reject-repair,enrollment,Source06,16,10818,10333,13125,13125,0,0,true
dev,reject-repair,enrollment,Source07,16,10367,10334,14375,14375,0,0,true
dev,reject-repair,enrollment,Source08,16,10203,9917,13125,13125,0,0,true
dev,reject-repair,enrollment,Source09,16,11474,9667,37250,37250,0,0,true
dev,reject-repair,enrollment,Source10,16,10641,11167,17292,17292,0,0,true
dev,reject-repair,enrollment,Source11,16,12552,10333,38333,38333,0,0,true
dev,reject-repair,enrollment,Source12,16,8979,8709,14916,14916,0,0,true
dev,reject-repair,enrollment,Source13,16,8510,6750,20708,20708,0,0,true
dev,reject-repair,enrollment,Source14,16,6615,6417,9083,9083,0,0,true
dev,reject-repair,enrollment,Source15,16,12505,6167,73167,73167,0,0,true
dev,reject-repair,enrollment,Hub,16,140099,127542,277750,277750,0,0,true
dev,reject-repair,enrollment,sum16Sources+Hub,16,324456,301501,481749,481749,0,0,true
dev,reject-repair,onset256,Source00,16,27479,24000,73584,73584,304,304,true
dev,reject-repair,onset256,Source01,16,57628,55209,86375,86375,1024,1024,true
dev,reject-repair,onset256,Source02,16,55854,52375,95542,95542,1024,1024,true
dev,reject-repair,onset256,Source03,16,57271,52417,106959,106959,1024,1024,true
dev,reject-repair,onset256,Source04,16,2687,2083,5625,5625,0,0,true
dev,reject-repair,onset256,Source05,16,2578,2125,5875,5875,0,0,true
