n,tapers,input,dft_peak_scaled_error,dft_normalized_absolute_error
4096,1,mixed,1.007542762e-8,8.193729861e-10
4096,1,silence,0.000000000e0,0.000000000e0
4096,1,tone,1.021721757e-8,3.826919892e-9
4096,1,antiphase,1.021721757e-8,3.826919892e-9
4096,1,quiet,8.482511530e-8,6.484032416e-18
4096,1,noise,1.106901866e-7,9.911177649e-12
4096,1,impulse,2.913065836e-7,7.502899923e-13
4096,1,golden,1.767694478e-7,1.143039941e-8
4096,3,mixed,2.622156449e-8,2.219591315e-9
4096,3,silence,0.000000000e0,0.000000000e0
4096,3,tone,9.188095383e-9,4.312494814e-9
4096,3,antiphase,9.188095383e-9,4.312494814e-9
4096,3,quiet,9.011504614e-8,8.631857189e-18
4096,3,noise,1.016515026e-7,9.625098307e-12
4096,3,impulse,4.384696687e-7,1.127776464e-12
4096,3,golden,8.317953464e-8,5.717766413e-9
4096,5,mixed,1.637781383e-8,1.396373612e-9
4096,5,silence,0.000000000e0,0.000000000e0
4096,5,tone,2.928669999e-8,1.412660521e-8
4096,5,antiphase,2.928669999e-8,1.412660521e-8
4096,5,quiet,1.155106421e-7,1.137085748e-17
4096,5,noise,7.267312752e-8,8.617591624e-12
4096,5,impulse,2.144360288e-7,1.089202962e-12
4096,5,golden,1.262276873e-7,9.202309550e-9
8192,1,mixed,4.207325008e-8,2.300399060e-9
8192,1,silence,0.000000000e0,0.000000000e0
8192,1,tone,1.170006394e-7,5.668943264e-8
8192,1,antiphase,1.170006394e-7,5.668943264e-8
8192,1,quiet,6.399342999e-8,6.327806587e-18
8192,1,noise,7.992637929e-8,3.217800562e-12
8192,1,impulse,2.504825936e-8,6.453699385e-14
8192,1,golden,1.691880952e-8,8.923947963e-10
8192,3,mixed,5.767941627e-8,3.876634122e-9
8192,3,silence,0.000000000e0,0.000000000e0
8192,3,tone,2.262795474e-7,1.105360753e-7
8192,3,antiphase,2.262795474e-7,1.105360753e-7
8192,3,quiet,1.208509341e-7,1.204793748e-17
8192,3,noise,1.016588209e-7,4.918670132e-12
8192,3,impulse,1.576438007e-7,4.080516458e-13
8192,3,golden,4.440392980e-8,2.936025506e-9
8192,5,mixed,3.366172078e-8,2.303192060e-9
8192,5,silence,0.000000000e0,0.000000000e0
8192,5,tone,1.935811493e-7,9.473826136e-8
8192,5,antiphase,1.935811493e-7,9.473826136e-8
8192,5,quiet,1.032787441e-7,1.031519025e-17
8192,5,noise,1.117227919e-7,6.607753377e-12
8192,5,impulse,1.762690862e-7,4.574485243e-13
8192,5,golden,6.449874513e-8,4.390487440e-9
16384,1,mixed,1.957658625e-7,5.946657198e-9
16384,1,silence,0.000000000e0,0.000000000e0
16384,1,tone,1.918307083e-15,8.985685420e-16
16384,1,antiphase,1.918307083e-15,8.985685420e-16
16384,1,quiet,7.283512887e-15,6.962705275e-25
16384,1,noise,9.966373887e-8,2.228209089e-12
16384,1,impulse,5.334278388e-10,1.374085878e-15
16384,1,golden,3.794580201e-8,2.585289104e-9
16384,3,mixed,1.408732495e-7,7.206103474e-9
16384,3,silence,0.000000000e0,0.000000000e0
16384,3,tone,8.620556260e-14,4.175680718e-14
16384,3,antiphase,8.620556260e-14,4.175680718e-14
16384,3,quiet,2.650485544e-13,2.620120703e-23
16384,3,noise,1.638312201e-7,3.637286599e-12
16384,3,impulse,1.201618976e-8,3.099087010e-14
16384,3,golden,1.340301054e-7,9.223897925e-9
16384,5,mixed,1.282912595e-7,6.700273768e-9
16384,5,silence,0.000000000e0,0.000000000e0
16384,5,tone,3.401404708e-12,1.659177821e-12
16384,5,antiphase,3.401404708e-12,1.659177821e-12
16384,5,quiet,4.787185639e-12,4.765612846e-22
16384,5,noise,1.795675577e-7,5.753324480e-12
16384,5,impulse,2.103132745e-7,5.427751664e-13
16384,5,golden,8.851404313e-8,6.106450043e-9
