n,tapers,input,dft_peak_scaled_error,dft_normalized_absolute_error
4096,1,mixed,3.297946420e-8,2.682018135e-9
4096,1,silence,0.000000000e0,0.000000000e0
4096,1,tone,8.978426852e-8,3.362924228e-8
4096,1,antiphase,8.978426852e-8,3.362924228e-8
4096,1,quiet,5.950569441e-9,4.548614877e-19
4096,1,noise,4.374176508e-8,3.916629404e-12
4096,1,impulse,2.030267861e-7,5.229163168e-13
4096,1,golden,4.707580029e-9,3.044050918e-10
4096,3,mixed,2.622156449e-8,2.219591315e-9
4096,3,silence,0.000000000e0,0.000000000e0
4096,3,tone,1.501565238e-7,7.047697671e-8
4096,3,antiphase,1.501565238e-7,7.047697671e-8
4096,3,quiet,9.011504614e-8,8.631857189e-18
4096,3,noise,5.900203585e-8,5.586738816e-12
4096,3,impulse,3.028473593e-7,7.789459156e-13
4096,3,golden,8.317953964e-8,5.717766413e-9
4096,5,mixed,1.637781383e-8,1.396373612e-9
4096,5,silence,0.000000000e0,0.000000000e0
4096,5,tone,1.031163236e-7,4.973873802e-8
4096,5,antiphase,1.031163236e-7,4.973873802e-8
4096,5,quiet,1.155106421e-7,1.137085748e-17
4096,5,noise,1.345500479e-7,1.595496720e-11
4096,5,impulse,1.443147149e-7,7.330298026e-13
4096,5,golden,7.582970856e-8,5.528172064e-9
8192,1,mixed,4.207324435e-8,2.300399060e-9
8192,1,silence,0.000000000e0,0.000000000e0
8192,1,tone,1.170006394e-7,5.668943264e-8
8192,1,antiphase,1.170006394e-7,5.668943264e-8
8192,1,quiet,6.399342999e-8,6.327806587e-18
8192,1,noise,2.957320678e-8,1.190604397e-12
8192,1,impulse,4.113843318e-8,1.059934254e-13
8192,1,golden,7.806785379e-8,4.117745477e-9
8192,3,mixed,6.539136510e-8,4.394953737e-9
8192,3,silence,0.000000000e0,0.000000000e0
8192,3,tone,4.464609461e-8,2.180933041e-8
8192,3,antiphase,4.464609461e-8,2.180933041e-8
8192,3,quiet,3.369454479e-8,3.359095524e-18
8192,3,noise,7.394473991e-8,3.577748784e-12
8192,3,impulse,1.018427069e-7,2.636138179e-13
8192,3,golden,1.814508744e-8,1.199768424e-9
8192,5,mixed,8.825393603e-8,6.038483367e-9
8192,5,silence,0.000000000e0,0.000000000e0
8192,5,tone,6.744663795e-8,3.300827021e-8
8192,5,antiphase,6.744663795e-8,3.300827021e-8
8192,5,quiet,4.562065544e-8,4.556463332e-18
8192,5,noise,8.923928581e-8,5.277983362e-12
8192,5,impulse,2.787748174e-7,7.234684855e-13
8192,5,golden,6.173869023e-8,4.202607534e-9
16384,1,mixed,1.344469785e-7,4.438758680e-9
16384,1,silence,0.000000000e0,0.000000000e0
16384,1,tone,1.372985760e-15,6.431305102e-16
16384,1,antiphase,1.372985760e-15,6.431305102e-16
16384,1,quiet,5.205838122e-15,4.976542842e-25
16384,1,noise,5.898370987e-8,1.318714387e-12
16384,1,impulse,7.466555439e-11,1.923350759e-16
16384,1,golden,1.673246506e-8,1.140001194e-9
16384,3,mixed,1.638985528e-7,6.214680146e-9
16384,3,silence,0.000000000e0,0.000000000e0
16384,3,tone,5.366579874e-13,2.599498620e-13
16384,3,antiphase,5.366579874e-13,2.599498620e-13
16384,3,quiet,6.366618768e-13,6.293680673e-23
16384,3,noise,6.094837196e-8,1.353140729e-12
16384,3,impulse,1.477612313e-8,3.810897984e-14
16384,3,golden,7.393005725e-8,5.087837098e-9
16384,5,mixed,1.774765064e-7,9.269071190e-9
16384,5,silence,0.000000000e0,0.000000000e0
16384,5,tone,5.110675821e-13,2.492946503e-13
16384,5,antiphase,5.110675821e-13,2.492946503e-13
16384,5,quiet,7.977922680e-13,7.941971270e-23
16384,5,noise,5.788280909e-8,1.854558621e-12
16384,5,impulse,1.372589422e-7,3.542368746e-13
16384,5,golden,8.851404313e-8,6.106450043e-9
