n,tapers,input,ns_per_column,steady_allocs,retained_bytes,construct_peak_bytes,init_ns,reconfigure_ns
4096,1,mixed,94787.2,0,165808,344496,136120,84350
4096,1,silence,8260.7,0,165808,344496,143888,80022
4096,3,mixed,195663.8,0,231344,344496,258101,81255
4096,3,silence,8417.9,0,231344,344496,246235,87570
4096,5,mixed,299350.5,0,296880,344496,315928,118314
4096,5,silence,7960.6,0,296880,344496,322923,114340
8192,1,mixed,150189.2,0,329648,328112,92851,157690
8192,1,silence,11267.2,0,329648,328112,86016,162165
8192,3,mixed,372284.1,0,460720,491952,326028,165592
8192,3,silence,11186.9,0,460720,491952,323888,160184
8192,5,mixed,577314.0,0,591792,623024,454555,223008
8192,5,silence,11023.2,0,591792,623024,446578,223471
16384,1,mixed,275224.1,0,657328,672176,272116,312463
16384,1,silence,17205.9,0,657328,672176,266513,316966
16384,3,mixed,748750.0,0,919472,983472,711160,330125
16384,3,silence,17477.2,0,919472,983472,701235,308381
16384,5,mixed,1247175.2,0,1181616,1245616,1013151,452338
16384,5,silence,17688.5,0,1181616,1245616,1054616,473516
