n,tapers,input,ns_per_column,steady_allocs,retained_bytes,construct_peak_bytes,init_ns,reconfigure_ns
4096,1,mixed,65969.3,0,215840,468840,211518,103194
4096,1,silence,8153.1,0,215840,468840,206361,108482
4096,3,mixed,107129.5,0,281376,468840,342503,101020
4096,3,silence,8122.1,0,281376,468840,340405,105285
4096,5,mixed,145635.6,0,346912,468840,419461,139230
4096,5,silence,8227.7,0,346912,468840,409718,141450
8192,1,mixed,84898.6,0,428480,427328,137251,211151
8192,1,silence,11056.2,0,428480,427328,133938,199222
8192,3,mixed,177226.2,0,559552,706104,418510,204318
8192,3,silence,11557.1,0,559552,706104,444880,209970
8192,5,mixed,283354.2,0,690624,837176,571795,271590
8192,5,silence,11283.8,0,690624,837176,554001,283870
16384,1,mixed,124916.5,0,854816,1001496,407513,394189
16384,1,silence,18175.1,0,854816,1001496,401650,394836
16384,3,mixed,296084.9,0,1116960,1411272,940086,395586
16384,3,silence,17819.7,0,1116960,1411272,941315,401480
16384,5,mixed,452756.2,0,1379104,1673416,1230571,534604
16384,5,silence,17447.8,0,1379104,1673416,1213613,539326
