n,tapers,input,ns_per_column,steady_allocs,retained_bytes,construct_peak_bytes,init_ns,reconfigure_ns
4096,1,mixed,65927.9,0,215840,468840,211133,103996
4096,1,silence,8376.0,0,215840,468840,213286,106880
4096,3,mixed,105520.1,0,281376,468840,344263,107534
4096,3,silence,8283.0,0,281376,468840,345691,104948
4096,5,mixed,142791.0,0,346912,468840,407801,136789
4096,5,silence,8445.1,0,346912,468840,410541,135853
8192,1,mixed,85130.8,0,428480,427328,141740,206501
8192,1,silence,11309.3,0,428480,427328,137500,207807
8192,3,mixed,177903.0,0,559552,706104,410181,201690
8192,3,silence,11027.9,0,559552,706104,410473,202943
8192,5,mixed,281558.9,0,690624,837176,550936,272770
8192,5,silence,11158.8,0,690624,837176,539491,272079
16384,1,mixed,126583.6,0,854816,1001496,399715,411085
16384,1,silence,17059.6,0,854816,1001496,406675,405898
16384,3,mixed,289701.6,0,1116960,1411272,936456,400080
16384,3,silence,17178.3,0,1116960,1411272,935621,404328
16384,5,mixed,452377.5,0,1379104,1673416,1230611,540389
16384,5,silence,16992.5,0,1379104,1673416,1211406,533725
