n,tapers,input,ns_per_column,steady_allocs,retained_bytes,construct_peak_bytes,init_ns,reconfigure_ns
4096,1,mixed,95374.9,0,165808,344496,134380,78086
4096,1,silence,8285.5,0,165808,344496,136076,81406
4096,3,mixed,193444.5,0,231344,344496,257655,78355
4096,3,silence,8619.9,0,231344,344496,252826,78359
4096,5,mixed,294632.4,0,296880,344496,320046,111995
4096,5,silence,8655.0,0,296880,344496,320790,113745
8192,1,mixed,150341.9,0,329648,328112,94990,161470
8192,1,silence,11265.2,0,329648,328112,92886,154862
8192,3,mixed,361334.6,0,460720,491952,311690,156320
8192,3,silence,11093.8,0,460720,491952,316095,162344
8192,5,mixed,588008.7,0,591792,623024,446070,226436
8192,5,silence,11254.2,0,591792,623024,454231,230618
16384,1,mixed,278385.9,0,657328,672176,265206,312965
16384,1,silence,17283.1,0,657328,672176,400956,325004
16384,3,mixed,747507.5,0,919472,983472,715316,316506
16384,3,silence,17260.3,0,919472,983472,726073,311761
16384,5,mixed,1208207.2,0,1181616,1245616,1019428,450668
16384,5,silence,17104.4,0,1181616,1245616,986070,444520
