n,tapers,input,baseline_ns,candidate_ns,saved_ns_median,saved_ns_min,saved_ns_max,retained_baseline,retained_candidate,candidate_warm_allocations
4096,1,mixed,96102.2,65878.4,31729.800000000003,27912.09999999999,32579.100000000006,165808,215840,0
4096,1,silence,8375.1,8330.6,69.60000000000036,-102.30000000000109,394.0,165808,215840,0
4096,3,mixed,195215.6,105028.1,90544.1,88109.9,91848.40000000001,231344,281376,0
4096,3,silence,8347.6,8283.0,31.899999999999636,-340.7999999999993,767.8999999999996,231344,281376,0
4096,5,mixed,295188.2,143644.5,152333.00000000003,146605.09999999998,157774.90000000002,296880,346912,0
4096,5,silence,8310.8,8379.7,-98.29999999999927,-296.8000000000002,526.5,296880,346912,0
8192,1,mixed,150462.8,84957.7,65914.40000000001,63682.899999999994,67122.70000000001,329648,428480,0
8192,1,silence,11360.8,11464.2,-72.89999999999964,-250.1999999999989,101.70000000000073,329648,428480,0
8192,3,mixed,364653.8,179454.8,185199.0,181647.3,188853.3,460720,559552,0
8192,3,silence,11318.6,11448.7,-104.80000000000109,-562.4000000000015,286.10000000000036,460720,559552,0
8192,5,mixed,581945.9,281557.7,300456.4,293640.19999999995,316674.99999999994,591792,690624,0
8192,5,silence,11489.1,11405.8,-68.09999999999854,-250.09999999999854,270.0,591792,690624,0
16384,1,mixed,278385.9,126583.6,151949.0,150086.4,165683.4,657328,854816,0
16384,1,silence,17500.6,17443.2,29.5,-407.0,452.90000000000146,657328,854816,0
16384,3,mixed,743541.7,291018.5,451548.7,419196.0,456108.4,919472,1116960,0
16384,3,silence,17596.2,17429.1,170.20000000000073,-931.0,588.2999999999993,919472,1116960,0
16384,5,mixed,1221260.3,453496.1,767463.3,752157.2999999999,776526.8999999999,1181616,1379104,0
16384,5,silence,17545.2,17342.3,-102.59999999999854,-536.6999999999971,1077.300000000003,1181616,1379104,0
