n,tapers,reading,phase,gain_bits,peak_bucket,byte,node_peak,fade
4096,1,Fold,0,0,3827,0,0.000000000,0.000000000
4096,1,Fold,1,987889386,2095,127,0.498039216,0.000000000
4096,1,Fold,2,987889387,2095,127,0.498039216,0.000000000
4096,1,Fold,3,984328010,2095,117,0.458823532,0.000000000
4096,1,Fold,4,980066128,2095,102,0.400000006,0.000000000
4096,1,Fold,5,980066127,2095,102,0.400000006,0.000000000
4096,1,Fold,6,0,3827,0,0.000000000,0.000000000
4096,1,Fold,7,0,3827,0,0.000000000,0.000000000
4096,1,Fold,8,0,3827,0,0.000000000,0.000000000
4096,1,Fold,9,0,3827,0,0.000000000,0.000000000
4096,1,Spectrum,0,0,3827,0,0.000000000,0.000000000
4096,1,Spectrum,1,987764643,2095,127,0.498039216,0.000000000
4096,1,Spectrum,2,987764644,2095,127,0.501960814,0.199999988
4096,1,Spectrum,3,984233262,2095,117,0.458823532,0.399999976
4096,1,Spectrum,4,979936623,2095,102,0.403921574,0.599999964
4096,1,Spectrum,5,979936622,2095,102,0.400000006,0.399999976
4096,1,Spectrum,6,0,3827,0,0.000000000,0.199999988
4096,1,Spectrum,7,0,3827,0,0.000000000,0.000000000
4096,1,Spectrum,8,0,3827,0,0.000000000,0.000000000
4096,1,Spectrum,9,0,3827,0,0.000000000,0.000000000
4096,3,Fold,0,0,3827,0,0.000000000,0.000000000
4096,3,Fold,1,987754085,2095,127,0.498039216,0.000000000
4096,3,Fold,2,987754086,2095,127,0.498039216,0.000000000
4096,3,Fold,3,984225242,2095,117,0.458823532,0.000000000
4096,3,Fold,4,979925662,2095,102,0.400000006,0.000000000
4096,3,Fold,5,979925661,2095,102,0.400000006,0.000000000
4096,3,Fold,6,0,3827,0,0.000000000,0.000000000
4096,3,Fold,7,0,3827,0,0.000000000,0.000000000
4096,3,Fold,8,0,3827,0,0.000000000,0.000000000
4096,3,Fold,9,0,3827,0,0.000000000,0.000000000
4096,3,Spectrum,0,0,3827,0,0.000000000,0.000000000
4096,3,Spectrum,1,987704774,2095,127,0.498039216,0.000000000
4096,3,Spectrum,2,987704775,2095,127,0.501960814,0.199999988
4096,3,Spectrum,3,984187789,2095,117,0.458823532,0.399999976
