variant,n,tapers,reading,node_observations,changed_observations,changed_nodes,first_phase,last_phase,max_fade_delta
candidate,4096,1,Fold,10250,410,82,2,6,0.020624995
candidate,4096,1,Spectrum,10250,0,0,,,0
candidate,4096,3,Fold,10250,0,0,,,0
candidate,4096,3,Spectrum,10250,574,82,1,7,0.088
candidate,4096,5,Fold,10250,0,0,,,0
candidate,4096,5,Spectrum,10250,574,82,1,7,0.088
candidate,8192,1,Fold,10250,328,82,5,8,0.027500004
candidate,8192,1,Spectrum,10250,0,0,,,0
candidate,8192,3,Fold,10250,492,82,1,6,0.162250012
candidate,8192,3,Spectrum,10250,492,82,1,6,0.17599999900000002
candidate,8192,5,Fold,10250,246,82,4,6,0.027500004
candidate,8192,5,Spectrum,10250,410,82,2,6,0.527999997
candidate,16384,1,Fold,10250,0,0,,,0
candidate,16384,1,Spectrum,10250,410,82,2,6,1.0
candidate,16384,3,Fold,10250,0,0,,,0
candidate,16384,3,Spectrum,10250,246,82,4,6,0.6560000180000001
candidate,16384,5,Fold,10250,492,82,1,7,0.317124993
candidate,16384,5,Spectrum,10250,410,82,2,6,1.0
scalar,4096,1,Fold,10250,410,82,2,6,0.020624995
scalar,4096,1,Spectrum,10250,246,82,4,6,0.175999999
scalar,4096,3,Fold,10250,738,82,1,9,0.020625010000000003
scalar,4096,3,Spectrum,10250,328,82,5,8,0.175999999
scalar,4096,5,Fold,10250,0,0,,,0
scalar,4096,5,Spectrum,10250,574,82,1,7,0.088
scalar,8192,1,Fold,10250,574,82,1,7,0.013750016999999996
scalar,8192,1,Spectrum,10250,574,82,1,7,0.17599999900000002
scalar,8192,3,Fold,10250,492,82,1,6,0.162250012
scalar,8192,3,Spectrum,10250,492,82,1,6,0.17599999900000002
scalar,8192,5,Fold,10250,246,82,4,6,0.027500004
scalar,8192,5,Spectrum,10250,410,82,2,6,0.527999997
scalar,16384,1,Fold,10250,246,82,4,6,0.604750037
scalar,16384,1,Spectrum,10250,410,82,2,6,1.0
scalar,16384,3,Fold,10250,0,0,,,0
scalar,16384,3,Spectrum,10250,246,82,4,6,0.6560000180000001
scalar,16384,5,Fold,10250,492,82,1,7,0.317124993
scalar,16384,5,Spectrum,10250,410,82,2,6,1.0
