n,tapers,input,buckets,unequal,max_abs_power,max_db_above_minus120,rms_db_above_minus120,max_relative_above_minus120,quantized_unequal,max_byte_delta,max_smoothed_abs_power,peak_index_changed_columns
4096,1,mixed,61248,56220,1.862645149e-08,2.058253898e-03,4.321567430e-05,4.738181871e-04,2,1,1.117587090e-08,0
4096,1,silence,61248,0,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0,0,0.000000000e+00,0
4096,1,tone,61248,58974,1.490116119e-07,1.095438004e-01,6.785220316e-03,2.490794026e-02,214,1,1.192092896e-07,0
4096,1,antiphase,61248,58974,1.490116119e-07,1.095438004e-01,6.785220316e-03,2.490794026e-02,214,1,1.192092896e-07,0
4096,1,quiet,61248,58973,4.857225733e-17,4.853502806e-06,8.183756853e-07,1.117559697e-06,0,0,3.469446952e-17,0
4096,1,noise,61248,50095,5.093170330e-11,1.975303557e-04,4.175957938e-06,4.548201092e-05,0,0,3.637978807e-11,0
4096,1,impulse,61248,48220,1.818989404e-12,6.837157419e-04,1.486413819e-05,1.574189759e-04,0,0,1.364242053e-12,0
4096,1,golden,734976,573170,4.470348358e-08,3.474585219e-03,1.920726613e-05,7.997328560e-04,7,1,1.862645149e-08,0
4096,3,mixed,61248,53587,2.607703209e-08,2.985108625e-04,1.016973511e-05,6.873230403e-05,1,1,1.862645149e-08,0
4096,3,silence,61248,0,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0,0,0.000000000e+00,0
4096,3,tone,61248,58093,3.278255463e-07,1.743986014e-01,3.726614090e-03,3.936116429e-02,100,1,1.788139343e-07,0
4096,3,antiphase,61248,58093,3.278255463e-07,1.743986014e-01,3.726614090e-03,3.936116429e-02,100,1,1.788139343e-07,0
4096,3,quiet,61248,57807,6.245004514e-17,3.571036511e-06,7.079608257e-07,8.222612055e-07,0,0,3.469446952e-17,0
4096,3,noise,61248,43891,4.365574569e-11,9.607087907e-06,1.244330104e-06,2.212111294e-06,0,0,2.910383046e-11,0
4096,3,impulse,61248,39959,2.046363079e-12,1.519840382e-05,1.010420174e-06,3.499555684e-06,0,0,1.364242053e-12,0
4096,3,golden,734976,501054,3.725290298e-08,2.467354509e-04,5.115571308e-06,5.681132330e-05,7,1,2.607703209e-08,1
4096,5,mixed,61248,51382,2.980232239e-08,2.628879806e-04,6.683123525e-06,6.053036248e-05,1,1,1.862645149e-08,0
4096,5,silence,61248,0,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0,0,0.000000000e+00,0
4096,5,tone,61248,57335,2.980232239e-07,1.293091433e-01,3.499919289e-03,2.933563598e-02,84,1,1.490116119e-07,0
4096,5,antiphase,61248,57335,2.980232239e-07,1.293091433e-01,3.499919289e-03,2.933563598e-02,84,1,1.490116119e-07,0
4096,5,quiet,61248,57309,5.551115123e-17,2.937579301e-06,6.278771040e-07,6.764024020e-07,0,0,3.469446952e-17,0
4096,5,noise,61248,39064,7.275957614e-11,5.832761914e-06,9.372493945e-07,1.343042162e-06,0,0,4.365574569e-11,0
4096,5,impulse,61248,35918,4.092726158e-12,4.206114004e-06,7.349611814e-07,9.684930714e-07,0,0,3.183231456e-12,0
4096,5,golden,734976,469714,5.215406418e-08,1.056936421e-04,3.637752747e-06,2.433656434e-05,5,1,2.980232239e-08,0
8192,1,mixed,61248,58844,1.490116119e-08,1.232749136e-03,4.911901521e-05,2.838106966e-04,4,1,7.450580597e-09,0
8192,1,silence,61248,0,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0,0,0.000000000e+00,0
8192,1,tone,61248,60860,2.086162567e-07,4.328194411e-02,6.078051411e-03,9.916539558e-03,61,1,1.192092896e-07,0
8192,1,antiphase,61248,60860,2.086162567e-07,4.328194411e-02,6.078051411e-03,9.916539558e-03,61,1,1.192092896e-07,0
8192,1,quiet,61248,60871,3.469446952e-17,3.248274641e-06,8.540462744e-07,7.479425969e-07,0,0,2.081668171e-17,0
8192,1,noise,61248,52562,2.546585165e-11,1.650618204e-04,3.690930394e-06,3.800616645e-05,1,1,2.000888344e-11,0
8192,1,impulse,61248,52859,1.591615728e-12,5.659612465e-03,1.508600152e-04,1.302325167e-03,5,1,1.136868377e-12,0
8192,1,golden,734976,648384,2.980232239e-08,2.338449236e-02,4.268250707e-05,5.370008032e-03,21,1,1.862645149e-08,0
8192,3,mixed,61248,56823,2.235174179e-08,2.461375373e-04,1.604391112e-05,5.667365642e-05,0,0,1.117587090e-08,0
8192,3,silence,61248,0,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0,0,0.000000000e+00,0
8192,3,tone,61248,60293,2.086162567e-07,9.961768840e-02,2.395358894e-03,2.267674858e-02,55,1,1.490116119e-07,0
8192,3,antiphase,61248,60293,2.086162567e-07,9.961768840e-02,2.395358894e-03,2.267674858e-02,55,1,1.490116119e-07,0
8192,3,quiet,61248,60260,4.857225733e-17,2.435945579e-06,6.896780065e-07,5.608970404e-07,0,0,2.775557562e-17,0
8192,3,noise,61248,45175,2.546585165e-11,1.212824552e-05,1.210043109e-06,2.792627835e-06,0,0,1.818989404e-11,0
8192,3,impulse,61248,47499,2.273736754e-12,6.345271050e-05,8.206146793e-06,1.461041980e-05,0,0,1.136868377e-12,0
8192,3,golden,734976,573326,4.097819328e-08,2.084444014e-04,5.593894957e-06,4.799494534e-05,8,1,2.607703209e-08,0
8192,5,mixed,61248,55792,1.862645149e-08,1.500804410e-04,1.069624308e-05,3.455670153e-05,0,0,1.117587090e-08,0
8192,5,silence,61248,0,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0,0,0.000000000e+00,0
8192,5,tone,61248,59852,2.682209015e-07,1.562676423e-01,2.743568705e-03,3.534229881e-02,47,1,1.788139343e-07,0
8192,5,antiphase,61248,59852,2.682209015e-07,1.562676423e-01,2.743568705e-03,3.534229881e-02,47,1,1.788139343e-07,0
8192,5,quiet,61248,59868,5.551115123e-17,2.659093523e-06,6.901971692e-07,6.122787232e-07,0,0,2.775557562e-17,0
8192,5,noise,61248,42662,3.274180926e-11,7.168572005e-06,9.538642004e-07,1.650623341e-06,1,1,2.546585165e-11,0
8192,5,impulse,61248,42233,2.273736754e-12,1.921947987e-05,2.199446513e-06,4.425438993e-06,0,0,1.136868377e-12,0
8192,5,golden,734976,525635,5.215406418e-08,1.048590359e-04,3.967841515e-06,2.414439382e-05,3,1,2.980232239e-08,5
16384,1,mixed,61248,59426,1.117587090e-08,2.790399439e-03,4.887944846e-05,6.423068477e-04,3,1,7.450580597e-09,0
16384,1,silence,61248,0,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0,0,0.000000000e+00,0
16384,1,tone,61248,61034,1.490116119e-07,8.731966340e-02,9.045260256e-03,1.990531587e-02,44,1,8.940696716e-08,0
16384,1,antiphase,61248,61034,1.490116119e-07,8.731966340e-02,9.045260256e-03,1.990531587e-02,44,1,8.940696716e-08,0
16384,1,quiet,61248,61030,3.469446952e-17,2.370316643e-06,8.247217835e-07,5.457854279e-07,0,0,2.775557562e-17,0
16384,1,noise,61248,52459,1.273292582e-11,4.004425511e-04,3.730110605e-06,9.220105409e-05,0,0,7.275957614e-12,0
16384,1,impulse,61248,56038,1.591615728e-12,4.486578564e-03,3.319709485e-04,1.032539456e-03,16,1,1.136868377e-12,0
16384,1,golden,734976,678354,4.470348358e-08,6.489061049e-03,3.211716663e-05,1.493045820e-03,20,1,2.235174179e-08,0
16384,3,mixed,61248,58196,1.303851604e-08,2.034103232e-04,1.565108300e-05,4.683586097e-05,1,1,9.313225746e-09,0
16384,3,silence,61248,0,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0,0,0.000000000e+00,0
16384,3,tone,61248,60564,2.682209015e-07,7.418889426e-02,1.751324306e-03,1.693754347e-02,35,1,1.490116119e-07,0
16384,3,antiphase,61248,60564,2.682209015e-07,7.418889426e-02,1.751324306e-03,1.693754347e-02,35,1,1.490116119e-07,0
16384,3,quiet,61248,60605,4.163336342e-17,2.134836131e-06,6.205735185e-07,4.915640643e-07,0,0,2.081668171e-17,0
16384,3,noise,61248,47428,1.273292582e-11,1.284828775e-05,1.325330450e-06,2.958423208e-06,0,0,9.094947018e-12,0
16384,3,impulse,61248,52671,2.046363079e-12,2.151824904e-04,2.658952265e-05,4.954637200e-05,0,0,1.364242053e-12,0
16384,3,golden,734976,634726,4.097819328e-08,2.972151788e-04,7.379715835e-06,6.843398229e-05,10,1,2.607703209e-08,0
16384,5,mixed,61248,57597,1.303851604e-08,1.186793921e-04,1.154003016e-05,2.732656654e-05,2,1,9.313225746e-09,0
16384,5,silence,61248,0,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0,0,0.000000000e+00,0
16384,5,tone,61248,60565,1.788139343e-07,8.381715481e-02,1.831495600e-03,1.911456793e-02,28,1,1.192092896e-07,0
16384,5,antiphase,61248,60565,1.788139343e-07,8.381715481e-02,1.831495600e-03,1.911456793e-02,28,1,1.192092896e-07,0
16384,5,quiet,61248,60540,4.163336342e-17,2.322789095e-06,6.099335932e-07,5.348418114e-07,0,0,2.775557562e-17,0
16384,5,noise,61248,44180,1.455191523e-11,7.215052882e-06,1.010204070e-06,1.661325941e-06,0,0,1.091393642e-11,0
16384,5,impulse,61248,50069,2.046363079e-12,7.088374079e-05,1.191838498e-05,1.632145129e-05,0,0,1.364242053e-12,0
