round,case,variant,wall_seconds,maximum_rss_bytes
0,default-fold,baseline,1.0171012920327485,54509568
0,default-fold,candidate,0.9637452919851057,55279616
0,largest-fold,baseline,1.1881496660062112,55066624
0,largest-fold,candidate,0.9840506250038743,55033856
1,default-fold,candidate,0.8439089999883436,54886400
1,default-fold,baseline,0.8335607920307666,54804480
1,largest-fold,candidate,0.7845053330529481,55394304
1,largest-fold,baseline,1.0838817909825593,55853056
2,default-fold,baseline,0.9957472919486463,55099392
2,default-fold,candidate,0.9323683329857886,54362112
2,largest-fold,baseline,1.1689417919842526,54280192
2,largest-fold,candidate,0.9913343329681084,55787520
3,default-fold,candidate,0.9767068750225008,53919744
3,default-fold,baseline,0.942303207993973,54706176
3,largest-fold,candidate,0.8484667499433272,56836096
3,largest-fold,baseline,1.1290779580012895,54493184
4,default-fold,baseline,0.98963491700124,53673984
4,default-fold,candidate,0.9874196670134552,55820288
4,largest-fold,baseline,1.1385715839569457,55672832
4,largest-fold,candidate,0.9918277909746394,54755328
5,default-fold,candidate,0.8614288750104606,53608448
5,default-fold,baseline,0.9681632500141859,54624256
5,largest-fold,candidate,1.0507741249748506,54771712
5,largest-fold,baseline,1.1476347499992698,55476224
6,default-fold,baseline,0.8836947919917293,53624832
6,default-fold,candidate,0.8887702499632724,54312960
6,largest-fold,baseline,1.1424487909534946,54231040
6,largest-fold,candidate,1.0180217499728315,54853632
